5|./dataset/i5_wiki.jpg|wiki|Firenze|Replica del David| La statue rappresenta un uomo.| La statue rappresenta un uomo.
13|./dataset/i13_wiki.jpg|wiki|Torino|Mole Antonelliana| La fotografia mostra un edificio che ha uno spigolo e un tuffo.| La fotografia mostra un edificio che ha uno spigolo e un tuffo.
19|./dataset/i19_other.jpg|other|Roma|Colosseo| L'immagine rappresenta l'elmo di Roma, una delle citta' più famose del mondo. L'elmo di Roma è un monumento storico che ha svolto un ruolo importante nella storia dell'Italia romana. L'elmo di Roma è una delle cose più famose del mondo, e si ritiene molto più grande che l'altra.| L'immagine rappresenta l'elmo di Roma, una delle citta' più famose del mondo. L'elmo di Roma è un monumento storico che ha svolto un ruolo importante nella storia dell'Italia romana. L'elmo di Roma è una delle cose più famose del mondo, e si ritiene molto più grande che l'altra.
10|./dataset/i10_wiki.jpg|wiki|Firenze|Targhetta Bettino Ricasoli| L'immagine mostra un soggetto che è stato scritto a BETTINO RICASOLI.| L'immagine mostra un soggetto che è stato scritto a BETTINO RICASOLI.
9|./dataset/i9_flore.jpg|flore|Firenze|Meridiana Ponte Vecchio| L'immagine rappresenta una parte di un corso di viaggi nella città di Firenze. La parte mostrata è un corso di viaggi che si vede in un angolo del corso. La parte sotterranea del corso è di una grande storia, con alcune parti delle mura e delle porte. La parte sotterranea è di uno stile antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che �| L'immagine rappresenta una parte di un corso di viaggi nella città di Firenze. La parte mostrata è un corso di viaggi che si vede in un angolo del corso. La parte sotterranea del corso è di una grande storia, con alcune parti delle mura e delle porte. La parte sotterranea è di uno stile antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che è molto antico. La parte sotterranea è di uno stile molto antico, con una grande porta che
17|./dataset/i17_wiki_torri.jpg|wiki|Bologna|Torri/Portici| La nostra fotografia rappresenta due tall buildings, che possono essere tower, che hanno un'altra dimensione, che possono essere tower.| La nostra fotografia rappresenta due tall buildings, che possono essere tower, che hanno un'altra dimensione, che possono essere tower.
20|./dataset/i20_other.jpg|other|San Gimignano|Centro Storico| La grande muraglia di un castello, che si trova sulla costa di un paese, è uno soggetto di questa fotografia. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color nero e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa.| La grande mura di un castello, che si trova sulla costa di un paese, è uno soggetto di questa fotografia. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color nero e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La casa è di color nero e della storia della casa. La mura è di color rosso e della storia della casa. La
7|./dataset/i7_wiki.jpeg|wiki|Firenze|Accademia delle belle arti| La stanza con la targa "Morosi" è un'altra stanza.| La stanza con la targa "Morosi" è un'altra stanza.
15|./dataset/i15_other.jpg|other|Palermo|Teatro Massimo| La grande città.| La grande città.
17|./dataset/i17_wiki_portici.jpg|wiki|Bologna|Torri/Portici| La strada.| La strada.
6|./dataset/i6_wiki.jpg|wiki|Firenze|Biancone Piazza Signoria| La grandezza e la grandezza delle sue osservazioni.| La grandezza e la grandezza delle sue osservazioni.
7|./dataset/i7_flore.jpg|flore|Firenze|Accademia delle belle arti| L'immagine mostra un porta aperta aperta, che è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su| L'immagine mostra un porta aperta aperta, che è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su un tessuto bianco. La porta è aperta e è stata scritta su
6|./dataset/i6_flore.jpg|flore|Firenze|Biancone Piazza Signoria| Il soggetto rappresentato in questa immagine è uno stato di pianta.| Il soggetto rappresentato in questa immagine è uno stato di pianta.
8|./dataset/i8_flore.jpg|flore|Firenze|Santissima Annunziata| L'immagine mostra un edificio che si dice è del Colosseo, che ha un'architettura con alcune archi e pilastri. Il suo nome è "Colosseo".| L'immagine mostra un edificio che si dice è del Colosseo, che ha un'architettura con alcune archi e pilastri. Il suo nome è "Colosseo".
12|./dataset/i12_other.jpg|other|Milano|Duomo| La fotografia mostra un antico edificio che ha un antico design.| La fotografia mostra un antico edificio che ha un antico design.
16|./dataset/i16_other.jpg|other|Palermo|Cattedrale| La cattedrale di Cagliari, una delle cattedRELLA di Italia, che si trova nella provincia di Cagliari, nel sud-orientale dell'Italia. La cattedrale è una delle cattedRELLA più antiche del mondo, ed è stata costruita durante il periodo delle due campagne antiche. La cattedrale è stata costruita nel 1137 e è stata modificata nel 1230. La cattedrale è stata un'altra delle cattedRELLA più antiche del mondo, e è stata costruita durante il periodo delle due campagne antiche. La cattedrale è stata costruita nel 1137 e è stata modificata nel 1230.| La cattedrale di Cagliari, una delle cattedRELLA di Italia, che si trova nella provincia di Cagliari, nel sud-orientale dell'Italia. La cattedrale è una delle cattedRELLA più antiche del mondo, ed è stata costruita durante il periodo delle due campagne antiche. La cattedrale è stata costruita nel 1137 e è stata modificata nel 1230. La cattedrale è stata un'altra delle cattedRELLA più antiche del mondo, e è stata costruita durante il periodo delle due campagne antiche. La cattedrale è stata costruita nel 1137 e è stata modificata nel 1230.
14|./dataset/i14_wiki.jpg|wiki|Napoli|Piazza Plebiscito| La cattedrale di Napoli.| La cattedrale di Napoli.
4|./dataset/i4_wiki.jpg|wiki|Firenze|Uffizi| La stanza di un palazzo.| La stanza di un palazzo.
13|./dataset/i13_other.jpg|other|Torino|Mole Antonelliana| La grande doma di Bologna.| La grande doma di Bologna.
19|./dataset/i19_wiki.jpg|wiki|Roma|Colosseo| Il soggetto rappresentato in questa immagine è l'impero romano, con particolare l'colosseo di Roma.| Il soggetto rappresentato in questa immagine è l'impero romano, con particolare l'colosseo di Roma.
4|./dataset/i4_flore.jpg|flore|Firenze|Uffizi| La grandezza delle pene delle pietre.| La grandezza delle pene delle pietre.
2|./dataset/i2_wiki.jpg|wiki|Firenze|Ponte Vecchio| La fonte di acqua.| La piazza.
1|./dataset/i1_flore.jpg|flore|Firenze|Duomo - Firenze| L'immagine rappresenta un'architettura biblica, con un'ombra e un'aria nella sua parte sotto. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle pare| L'immagine rappresenta un'architettura biblica, con un'ombra e un'aria nella sua parte sotto. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle parese di un'altra colorazione. La parte sotto è bianca e negli spettri, eccetto nelle parti che sono nelle pare
3|./dataset/i3_wiki.jpg|wiki|Firenze|Battistero| L'immagine rappresenta un'antichità italiana, in particolare la basilica di San Lorenzo.| L'immagine rappresenta un'antichità italiana, in particolare la basilica di San Lorenzo.
2|./dataset/i2_flore.jpg|flore|Firenze|Ponte Vecchio| L'immagine rappresenta un flusso di acqua, che si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il fl| L'immagine rappresenta un flusso di acqua, che si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il flusso di acqua è molto lungo e si vede sotto un flusso di albero verde. Il
18|./dataset/i18_wiki.jpg|wiki|Paestum|Tempio di Nettuno| Il soggetto di questa immagine è l'antica Doric Temple.| Il soggetto di questa immagine è l'antica Doric Temple di Paestum.
1|./dataset/i1_wiki.jpg|wiki|Firenze|Duomo - Firenze| La nostra immagine rappresenta un'altra città, a lungo dell'Italia.| La nostra immagine rappresenta un'altra città, a lungo dell'Italia.
10|./dataset/i10_flore.jpg|flore|Firenze|Targhetta Bettino Ricasoli| La fonte delle immagini è un monumento basato su un monumento realtivo che rappresenta uno sconosciuto sotto il nome di uno dei soldati delle libertà americane. La fonte delle immagini è un monumento basato su un monumento realtivo che rappresenta uno sconosciuto sotto il nome di uno dei soldati delle libertà americane.| La fonte delle immagini è un monumento basato su un monumento realtivo che rappresenta uno sconosciuto sotto il nome di uno dei soldati delle libertà americane.
16|./dataset/i16_wiki.jpg|wiki|Palermo|Cattedrale| L'immagine rappresenta un antico edificio dell'antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico| L'immagine rappresenta un antico edificio dell'antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico antico
15|./dataset/i15_wiki.jpg|wiki|Palermo|Teatro Massimo| La grandezza delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene| La grandezza delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle pene delle p
18|./dataset/i18_other.jpg|other|Paestum|Tempio di Nettuno| Il soggetto rappresentato in questa immagine è un antico edificio dell'antica Grecia, mostrato nel campo di vista. Il soggetto è un edificio di architettura greca, con una forma simile a quella di un palazzo. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del soggetto è simile a quella di un palazzo, con un tessuto di pietra e una forma di architettura greca. La forma del s| Il soggetto rappresentato in questa immagine è un antico edificio dell'antica Grecia, mostrato nel campo di vista.
11|./dataset/i11_other.jpg|other|Verona|Arena| Il soggetto rappresentato nella fotografia è un'architettura.| Il soggetto rappresentato nella fotografia è un'immagine che mostra un'architettura.
20|./dataset/i20_wiki.jpg|wiki|San Gimignano|Centro Storico| La città di Pisa.| La città di San Gimignano.
14|./dataset/i14_other.jpg|other|Napoli|Piazza Plebiscito| La foto mostra un edificio.| La foto mostra un edificio.
11|./dataset/i11_wiki.jpg|wiki|Verona|Arena| Il soggetto rappresentato in questa immagine è l'olimpiade di Verona.| Il soggetto rappresentato in questa immagine è l'olimpiade di Verona.
3|./dataset/i3_flore.jpg|flore|Firenze|Battistero| L'immagine rappresenta la cattedrale di San Lorenzo in Firenze.| L'immagine rappresenta la cattedrale di San Lorenzo in Firenze.
5|./dataset/i5_flore.jpg|flore|Firenze|Replica del David| Il soggetto rappresentato in questa immagine è un soggetto da pittura, che è stato realizzato da Michelangelo nel 1501-1504.| Il soggetto rappresentato in questa immagine è un soggetto da pittura, che è stato realizzato da Michelangelo nel 1501-1504.
17|./dataset/i17_other.jpg|other|Bologna|Torri/Portici| La fotografia mostra due torri di cimento, che si trovano in una zona dell'Italia Meridionale, nella città di San Gimignano.| La fotografia mostra due torri di cimento, che si trovano in una zona dell'Italia Meridionale, nella città di San Gimignano.
9|./dataset/i9_wiki.jpg|wiki|Firenze|Meridiana Ponte Vecchio| La strada.| La strada.
8|./dataset/i8_wiki.jpg|wiki|Firenze|Santissima Annunziata| La nostra immagine rappresenta un'altra città.| No, non sono in Firenze.
12|./dataset/i12_wiki.jpg|wiki|Milano|Duomo| La grandezza e la storia dell'architettura.| La grandezza e la storia dell'architettura.
